metric,tier,predictor,roi,n,beta,p,r_partial
RD,primary,dexterity_dominant,SOG_R,289,-7.936359423428036e-07,0.10563612221860173,-0.09673380823706529
RD,primary,dexterity_nondominant,IOG_L,287,-7.146511443446014e-07,0.007131727850772087,-0.1607565407427059
RD,primary,dexterity_nondominant,IOG_R,287,-6.240193138271864e-07,0.014537857622427973,-0.14616960326995038
RD,primary,dexterity_nondominant,MOG_L,287,-7.104014357292417e-07,0.016118693550271967,-0.14395163927752402
RD,primary,dexterity_nondominant,MOG_R,287,-8.23259586554907e-07,0.004381734642849733,-0.17010114693576606
RD,primary,dexterity_nondominant,SOG_L,287,-1.2323042598594726e-06,0.008998266325080731,-0.15612435411436726
RD,primary,dexterity_nondominant,SOG_R,287,-9.410076418358245e-07,0.06414589322918471,-0.1109819792907563
MO,primary,dexterity_dominant,IOG_L,289,4.5114162691295476e-05,0.9004393548398768,0.00749653039903094
MO,primary,dexterity_dominant,IOG_R,289,0.0005494574595202607,0.12980157938885045,0.09058834968566389
MO,primary,dexterity_dominant,MOG_L,289,-1.3340213685514224e-05,0.9578329425697668,-0.00316826505176515
MO,primary,dexterity_dominant,MOG_R,289,6.234035964717245e-05,0.791703798874806,0.01582436374273936
MO,primary,dexterity_dominant,SOG_L,289,0.0011322269447103814,0.023055655054192537,0.13554461832477305
MO,primary,dexterity_dominant,SOG_R,289,0.0006144748140243929,0.1537839833290806,0.08531055358223008
MO,primary,dexterity_nondominant,IOG_L,287,0.0006896335049398926,0.0644390037858213,0.11086077634931393
MO,primary,dexterity_nondominant,IOG_R,287,0.0005077577745063354,0.17254016594330993,0.08189619078748284
MO,primary,dexterity_nondominant,MOG_L,287,2.7656799981146086e-05,0.9158431354993604,0.006354843027674095
MO,primary,dexterity_nondominant,MOG_R,287,-9.923525501751658e-06,0.9675845457306265,-0.0024438975798813426
MO,primary,dexterity_nondominant,SOG_L,287,9.650802721694656e-05,0.8525481925774603,0.011177466721820921
MO,primary,dexterity_nondominant,SOG_R,287,0.0007583222109358468,0.0895902191214341,0.10182328980196596
F2,primary,dexterity_dominant,IOG_L,289,0.0002248606676340538,0.002978347251860941,0.17656618599884163
F2,primary,dexterity_dominant,IOG_R,289,0.0002627531173709045,0.0001984899383186588,0.22022255754379938
F2,primary,dexterity_dominant,MOG_L,289,0.0002144589776856793,0.0012771660455326301,0.19122852780309368
F2,primary,dexterity_dominant,MOG_R,289,0.00024415549534512296,0.0004907801349338418,0.2066145399573808
F2,primary,dexterity_dominant,SOG_L,289,0.0002837516048068283,0.003546168977382998,0.17340376985204567
F2,primary,dexterity_dominant,SOG_R,289,0.0002310650566528224,0.007205402152119589,0.159984163628612
