metric,predictor,roi,n,beta,p,r_partial
FA,grip_dominant,caudate nucleus left,287,0.0001107741354338753,0.7238139458048222,0.021248486407854456
FA,grip_dominant,caudate nucleus right,287,-6.23729768440913e-05,0.8468769409388135,-0.011612623975070714
FA,grip_dominant,putamen left,287,-0.00014750595356592311,0.5304269205454589,-0.037714685031858076
FA,grip_dominant,putamen right,287,0.00010379857735736428,0.6252736636710124,0.029364668794003634
FA,grip_dominant,globus pallidus left,287,-0.00011302243040369068,0.754101107014495,-0.018835870138882826
FA,grip_dominant,globus pallidus right,287,-0.00021998813425768029,0.5407399946440544,-0.03677389227442729
FA,grip_dominant,thalamus left,287,1.584704653885898e-05,0.9436755195875085,0.004248820955114799
FA,grip_dominant,thalamus right,287,0.00011274780527462069,0.5991035725906402,0.03160627413319329
FA,grip_dominant,hypothalamus left,287,-0.0001593451920314462,0.5308421516459484,-0.03767662968215438
FA,grip_dominant,hypothalamus right,287,-0.00014095036663762603,0.6052767723852965,-0.031073670169976364
FA,grip_dominant,nucleus innominata of mynert left,287,-0.0005593095335399144,0.10518434045690635,-0.09720679403318101
FA,grip_dominant,nucleus innominata of mynert right,287,-0.0005431792239034537,0.1495788238526587,-0.08649822132921586
FA,grip_dominant,nucleus accumbens left,287,-9.91926851231715e-05,0.680823730762101,-0.0247335162201384
FA,grip_dominant,nucleus accumbens right,287,-0.00010668795495151536,0.6838540673795971,-0.024485272007242934
FA,grip_dominant,red nucleus left,287,-0.0002198144071220961,0.45925434833936857,-0.044484923273215383
FA,grip_dominant,red nucleus right,287,0.00017343662765632563,0.5957312061590563,0.031898274248279304
FA,grip_dominant,substancia nigra left,287,0.0005477836819735249,0.24472810634364187,0.06987049718684898
FA,grip_dominant,substancia nigra right,287,0.0003732963284720852,0.3343069116749456,0.05801323900610459
FA,grip_dominant,cerebellum right,287,-0.0001346909360076217,0.34304191156547176,-0.056975239406549937
FA,grip_dominant,cerebellum left,287,-0.0001709507990016179,0.2382482129970143,-0.07083672992518925
FA,grip_dominant,cerebral peduncle left,287,-0.00030436240839423127,0.4323396169685831,-0.04719403734601532
FA,grip_dominant,Cerebral peduncle right,287,-0.00040817891254480554,0.2468758462356979,-0.06955419150194989
FA,grip_dominant,midbrain left,287,-0.0002589189443508287,0.2680984038695207,-0.06652663661018234
FA,grip_dominant,midbrain right,287,0.0001110581725672617,0.5938058598832783,0.032065318423118355
FA,grip_dominant,corticospinal tract left,287,7.001681981243907e-05,0.8362468469295732,0.012429925833207301
FA,grip_dominant,corticospinal tract right,287,-0.0004628669904313049,0.1870925997471951,-0.0792116384133732
FA,grip_dominant,superior cerebellar peduncle left,287,-0.0005202111718886861,0.09639284022353427,-0.0997366083531311
FA,grip_dominant,superior cerebellar peduncle right,287,-0.0005119531761660625,0.15646187275338003,-0.08506594296878212
FA,grip_dominant,middle cerebellar peduncle left,287,-8.241053246606745e-05,0.8092088264916171,-0.014519467014474152
FA,grip_dominant,middle cerebellar peduncle right,287,-4.007078017796992e-05,0.9149813442858545,-0.006420163685865018
FA,grip_dominant,pontine crossing tract (a part of MCP) left,287,-0.00024877674435296623,0.4370587748658594,-0.04671223279295312
FA,grip_dominant,pontine crossing tract (a part of MCP) right,287,-0.0003211522851767415,0.33112996321449256,-0.058395064780942474
FA,grip_dominant,inferior cerebellar peduncle left,287,-0.0006723390624464885,0.03938561904389235,-0.12341924175714877
FA,grip_dominant,inferior cerebellar peduncle right,287,-0.00014357358737592777,0.7152015084945675,-0.021940625665814208
FA,grip_dominant,medial lemniscus left,287,0.00020856115479704455,0.4728842243533006,0.04314690452615606
FA,grip_dominant,medial lemniscus right,287,9.854998707865416e-05,0.7491222464314653,0.019230308405596874
FA,grip_dominant,pons left,287,-0.00045168426427655414,0.1492610479573693,-0.08656554240226139
FA,grip_dominant,pons right,287,-0.00034552947205568785,0.2089690197017245,-0.0754505018629545
FA,grip_dominant,medulla left,287,-0.0006827709470293615,0.32802776069181655,-0.05877018779777877
FA,grip_dominant,medulla right,286,-0.0004595932592982015,0.4525523769630286,-0.04523272290584595
FA,grip_dominant,anterior corona radiata left,287,0.0001932615086318374,0.37441894836895634,0.0533784511601306
FA,grip_dominant,anterior corona radiata right,287,-3.561298187014636e-05,0.8768049562553647,-0.009322501911730214
FA,grip_dominant,superior corona radiata left,287,-4.1441265305146747e-05,0.8296001912253812,-0.012942111637190905
FA,grip_dominant,superior corona radiata right,287,-0.0003167420675820189,0.09310787520704206,-0.10072905437071572
FA,grip_dominant,posterior corona radiata left,287,-0.0005056519644432616,0.10857340193955746,-0.09627614005752125
FA,grip_dominant,posterior corona radiata right,287,-0.0009208643947995368,0.004296548467987455,-0.17046820915626368
FA,grip_dominant,genu of corpus callosum left,287,-0.0003084461276832981,0.5941704722647956,-0.03203366556632775
FA,grip_dominant,genu of corpus callosum right,287,6.841693953272337e-05,0.9179998359140922,0.006191405439633338
FA,grip_dominant,body of corpus callosum left,287,-5.5135752267430606e-05,0.9367111054929103,-0.004775218302620042
FA,grip_dominant,body of corpus callosum right,287,-1.945779518475237e-06,0.9975543764552436,-0.00018433266366732655
FA,grip_dominant,splenium of corpus callosum left,287,-0.0003773025862793708,0.6892077160020578,-0.024047712364801323
FA,grip_dominant,splenium of corpus callosum right,287,-0.0004375106436298713,0.6402866521677243,-0.028097021138222274
FA,grip_dominant,tapatum left,287,0.0004937603312764641,0.46632850256812464,0.04378777056053724
FA,grip_dominant,tapatum right,287,-0.000629096011021763,0.40708996957850185,-0.04982531727115881
FA,grip_dominant,anterior limb of internal capsule left,287,0.00015363156740759654,0.7687054534102885,0.017683442902313714
FA,grip_dominant,anterior limb of internal capsule right,287,0.00014197795525776934,0.7983243730561838,0.015365440138476589
FA,grip_dominant,posterior limb of internal capsule left,287,0.0002442528432306018,0.56930704449629,0.03421309545121217
FA,grip_dominant,posterior limb of internal capsule right,287,4.656745641169567e-06,0.9891668006031009,0.0008165485730258025
FA,grip_dominant,retrolenticular part of internal capsule left,287,-0.0009746671928165094,0.02223400596026917,-0.13684977094557993
FA,grip_dominant,retrolenticular part of internal capsule right,287,-0.0008042048491134315,0.06427912870280093,-0.11092682938873119
FA,grip_dominant,external capsule left,287,0.00027444450149272174,0.48531154081392197,0.041945232284254175
FA,grip_dominant,external capsule right,287,0.00028113198505417484,0.41220849592855224,0.04928433879958657
FA,grip_dominant,cingulum (cingulate gyrus) left,287,-0.0001362494537917321,0.7960196681019563,-0.015544951950694247
FA,grip_dominant,cingulum (cingulate gyrus) right,287,-0.0002697014362884303,0.5502610024645117,-0.035913245513862074
FA,grip_dominant,cingulum (hippocampus) left,287,-0.0001470097806077196,0.6671955742221789,-0.025855206041544777
FA,grip_dominant,cingulum (hippocampus) right,287,-0.0004367675909083339,0.1930108909682255,-0.07816379182273087
FA,grip_dominant,fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,287,-0.0002890573501751234,0.25145822826630226,-0.06888567670413812
FA,grip_dominant,fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,287,-0.00017250764468639343,0.48598264893957455,-0.04188081549564097
FA,grip_dominant,Fornix (column and body of fornix) left,287,0.0003922913706746333,0.5338258375064829,0.03740361914883644
FA,grip_dominant,Fornix (column and body of fornix) right,287,-0.00035277856463259447,0.5990155195764856,-0.03161388884773526
FA,grip_dominant,Inferior fronto-occipital fasciculus left,287,0.00059440974890628,0.08389624538317193,0.10366980770889284
FA,grip_dominant,Inferior fronto-occipital fasciculus right,287,-0.00026539397101445596,0.5377556769706079,-0.037045201179122154
FA,grip_dominant,Posterior thalamic radiation (include optic radiation) left,287,-0.0001613932703266934,0.5803736030615043,-0.03323768581397712
FA,grip_dominant,Posterior thalamic radiation (include optic radiation) right,287,6.227889361198747e-05,0.854776455361922,0.011006651709192248
FA,grip_dominant,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,287,0.00028527445964094593,0.24243681746384263,0.07021008759423532
FA,grip_dominant,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,287,3.9570929712072765e-05,0.8826372225835404,0.008877874970477494
FA,grip_dominant,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,287,0.00011613215909859153,0.8065352150976033,0.014726997242095991
FA,grip_dominant,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,287,-0.0006066519907788559,0.22737208485918042,-0.0725008889978376
FA,grip_dominant,Superior longitudinal fasciculus left,287,-0.00015584502301891977,0.5335488440571463,-0.03742893196382101
FA,grip_dominant,Superior longitudinal fasciculus right,287,1.5487717093993515e-05,0.9495686558930311,0.003803649290292997
FA,grip_dominant,Uncinate fasciculus left,287,-0.0011339672052663255,0.03823563506277527,-0.12414355743593612
FA,grip_dominant,Uncinate fasciculus right,287,-0.0012245137472885273,0.06151574523303841,-0.11209043091325359
FA,grip_dominant,Ansa lenticularis left,287,-0.0002904069982937984,0.5076969799107457,-0.03982157242044267
FA,grip_dominant,Ansa lenticularis right,287,-8.298742649189993e-05,0.8444854328606571,-0.01179630541842997
FA,grip_dominant,Anterior commissure left,287,-0.0003283679323883512,0.43365773295212395,-0.04705916084873521
FA,grip_dominant,Anterior commissure right,287,-0.00045082755007640153,0.18098479224456426,-0.08031888985201349
FA,grip_dominant,Lenticular fasciclus left,287,0.00044070010304619585,0.366302809359921,0.05429020407554348
FA,grip_dominant,Lenticular fasciclus right,287,0.000320952446443879,0.48915741826227904,0.04157672903575783
FA,grip_dominant,olfactory radiation  left,287,-0.00024022535998426703,0.3524392003067617,-0.05587712479845997
FA,grip_dominant,olfactory radiation   right,287,-0.0001494092681391862,0.5615873831601984,-0.034898838803383764
FA,grip_dominant,mammillary body left,287,-0.00021286667843047687,0.5862252650155408,-0.032725432202059944
FA,grip_dominant,mammillary body right,287,-0.00020565072618294576,0.5729908452886885,-0.033887420752132115
FA,grip_dominant,optic tract left,287,-0.0005169093078298672,0.2684727184938894,-0.0664747426547108
FA,grip_dominant,optic tract right,287,-0.0005891412904222478,0.19366551144299968,-0.0780493407698114
FA,grip_dominant,lateral ventricle_frontal left,287,-0.0003547383488058636,0.6919177543178582,-0.02382670139497981
FA,grip_dominant,lateral ventricle_body left,287,-3.723531215394342e-05,0.9572651362194081,-0.0032225600133208225
FA,grip_dominant,lateral ventricle_atrium left,287,-0.00013847066507940322,0.833415695186145,-0.012647980264162225
FA,grip_dominant,lateral ventricle_occipital left,287,-0.00012587977885264288,0.8705962306210628,-0.009796386737794888
FA,grip_dominant,lateral ventricle_temporal left,287,-0.0003954444775797243,0.31773212584488625,-0.0600318497342106
FA,grip_dominant,lateral ventricle_frontal right,287,-0.0005780343692760285,0.5004974389537507,-0.040499070499721575
FA,grip_dominant,lateral ventricle_body right,287,3.520387095882001e-05,0.9625171196432265,0.002826206825054383
FA,grip_dominant,lateral ventricle_atrium right,287,-0.00018096649015052874,0.8148191470574155,-0.014084539909936918
FA,grip_dominant,lateral ventricle_occipital right,287,-0.0005727939853901798,0.40752010307890885,-0.04977970192181826
FA,grip_dominant,lateral ventricle_temporal right,287,0.00042034779764593433,0.2806051604927116,0.0648187534450334
FA,grip_dominant,III and IV ventricle,287,-0.00012100043070454671,0.6839566669877039,-0.024476874366123086
FA,grip_dominant,posterior insula left,287,7.926668422563261e-05,0.7645146387131709,0.018013460727885566
FA,grip_dominant,posterior insula right,287,-0.0002525851452070261,0.3683008305107602,-0.05406460035720033
FA,grip_dominant,posterior superior temporal gyrus left,287,-0.00020203867384862944,0.2591930527573746,-0.06777616425178817
FA,grip_dominant,posterior superior temporal gyrus right,287,-0.0001620461372360403,0.40887785357687384,-0.04963590037609149
FA,grip_dominant,posterior middle temporal gyrus left,287,-0.00017234530562462063,0.32190622834246146,-0.05951718989396741
FA,grip_dominant,posterior middle temporal gyrus right,287,-0.000270210859527335,0.19659693977961903,-0.07754025792178772
FA,grip_dominant,posterior inferior temporal gyrus left,287,-0.00047442185777037994,0.028807121701183828,-0.1309033627404865
FA,grip_dominant,posterior inferior temporal gyrus right,287,-0.000524389442242801,0.010039871036549014,-0.15390011044424504
FA,grip_nondominant,superior frontal gyrus (posterior segment) left,286,0.0002750515243214826,0.17269666998494543,0.0820143858919422
FA,grip_nondominant,superior frontal gyrus (posterior segment) right,286,0.00029613585952678167,0.1179849949711473,0.09397557469654855
FA,grip_nondominant,superior frontal gyrus (prefrontal cortex) left,286,0.0002636821401421136,0.0760159659044481,0.10659147250303141
FA,grip_nondominant,superior frontal gyrus (prefrontal cortex) right,286,0.00020469953788901488,0.13971927049918376,0.08879985213649255
FA,grip_nondominant,superior frontal gyrus (frontal pole) left,286,0.0001964213488491458,0.19713280930047491,0.07758780339687721
FA,grip_nondominant,superior frontal gyrus (frontal pole) right,286,8.936878349259479e-05,0.5092483668561112,0.039748127624471274
FA,grip_nondominant,middle frontal gyrus (posterior segment) left,286,0.00010069315453025729,0.4831978335002947,0.042224788968353674
FA,grip_nondominant,middle frontal gyrus (posterior segment) right,286,0.00016613910170868964,0.3124914163735724,0.06079413312048196
FA,grip_nondominant,middle frontal gyrus (dorsal prefrontal cortex) left,286,6.171029006867592e-05,0.6485808071345304,0.02745168537717603
FA,grip_nondominant,middle frontal gyrus (dorsal prefrontal cortex) right,286,0.0001444283281980854,0.347811291398807,0.05651770189421364
FA,grip_nondominant,inferior frontal gyrus pars opercularis left,286,0.00022217997394753967,0.21919849468699837,0.07392247326928278
FA,grip_nondominant,inferior frontal gyrus pars opercularis right,286,-7.893583913469382e-05,0.705399270919035,-0.022773131059859373
FA,grip_nondominant,inferior frontal gyrus pars orbitralis left,286,6.766841800291958e-06,0.9631833447624367,0.0027809710727990746
FA,grip_nondominant,inferior frontal gyrus pars orbitralis right,286,-1.2729806093456761e-05,0.9334999943127412,-0.005027145464411898
FA,grip_nondominant,inferior frontal gyrus pars triangularis left,286,0.00012874886094267924,0.3765183846117778,0.05324081806500623
FA,grip_nondominant,inferior frontal gyrus pars triangularis right,286,0.00021226039131079814,0.18980641118800565,0.07887048957062724
FA,grip_nondominant,lateral fronto-orbital gyrus left,286,-8.053475212546073e-05,0.6423634679193857,-0.02797325893905548
FA,grip_nondominant,lateral fronto-orbital gyrus right,286,2.3725524706482142e-05,0.8848010375438644,0.008728837141557462
FA,grip_nondominant,middle fronto-orbital gyrus left,286,-6.593480507373365e-05,0.7326111749591755,-0.02058161911892102
FA,grip_nondominant,middle fronto-orbital gyrus right,286,-0.00016055145688072012,0.40897772211859856,-0.049715205305256166
FA,grip_nondominant,gyrus rectus left,286,-3.368907106542589e-06,0.9789568196712218,-0.0015891329713364076
FA,grip_nondominant,gyrus rectus right,286,-4.451866347606684e-05,0.732121682446882,-0.02062079347560856
FA,grip_nondominant,postcentral gyrus left,286,5.928455574140574e-05,0.6687013265738636,0.025777479178570525
FA,grip_nondominant,postcentral gyrus right,286,2.3245134807127326e-05,0.865240021795001,0.010224192626832506
FA,grip_nondominant,precentral gyrus left,286,0.00018348939611904425,0.21486409849874022,0.07462077628874617
FA,grip_nondominant,precentral gyrus right,286,0.00021040713795215336,0.17941865652070763,0.08075291829653591
FA,grip_nondominant,Superior parietal gyrus left,286,4.7423207168232455e-05,0.8042227960985029,0.01493365799763275
FA,grip_nondominant,superior parietal gyrus right,286,3.3151052442470615e-05,0.8623252633531727,0.010447528319835954
FA,grip_nondominant,supramarginal gyrus left,286,-8.004910354493575e-05,0.5441832981200302,-0.03652784885926508
FA,grip_nondominant,supramarginal gyrus right,286,-0.0001837907515866721,0.2015808801420235,-0.07682591118855298
FA,grip_nondominant,angular gyrus left,286,0.00020566560545301393,0.2062655765794224,0.0760365585937591
FA,grip_nondominant,angular gyrus right,286,0.00019739794775973528,0.18401284735208956,0.07991073970213682
FA,grip_nondominant,pre-cuneus left,286,0.0001656508208083302,0.26737947596765355,0.06674698563769432
FA,grip_nondominant,pre-cuneus right,286,9.559964210831527e-06,0.9323562144434706,0.0051138158988674335
FA,grip_nondominant,superior temporal gyrus left,286,-5.413220677805502e-05,0.6293346522789631,-0.02907311102950602
FA,grip_nondominant,superior temporal gyrus right,286,7.513616471736554e-06,0.9508024398470102,0.0037172033351328
FA,grip_nondominant,pole of superior temporal gyrus left,286,2.0583914437515614e-05,0.8577419058165294,0.010799006285070495
FA,grip_nondominant,pole of superior temporal gyrus right,286,1.589717353536922e-05,0.8948021813054905,0.007966411603826173
FA,grip_nondominant,middle temporal gyrus left,286,0.00018321942738902858,0.22447101224308644,0.07308619742681648
FA,grip_nondominant,middle temporal gyrus right,286,-6.0349120637618365e-05,0.7240425153891832,-0.021268642386813585
FA,grip_nondominant,pole of middle temporal gyrus left,286,-0.0003001290564314841,0.05675227523436962,-0.11440716187270564
FA,grip_nondominant,pole of middle temporal gyrus right,286,-0.0001259084729137813,0.45295528842843247,-0.04519245508679562
FA,grip_nondominant,inferior temporal gyrus left,286,-0.0002014716848429063,0.2655221491553464,-0.06700615806426419
FA,grip_nondominant,inferior temporal gyrus right,286,1.7484911434034633e-05,0.9195816515362166,0.006082571298074072
FA,grip_nondominant,parahippocampal gyrus left,286,9.738392725465928e-05,0.5056060312067362,0.04009031812420783
FA,grip_nondominant,parahippocampal gyrus right,286,-1.9558868702271472e-05,0.9032105410523208,-0.007326395527596054
FA,grip_nondominant,entorhinal area left,286,-3.13542866055678e-05,0.843884267543812,-0.011863967176952511
FA,grip_nondominant,entorhinal area right,286,4.0702342682188945e-05,0.7840624440803753,0.016508421206444742
FA,grip_nondominant,fusiform gyrus left,286,-4.3967911981805565e-06,0.9699109789898688,-0.0022725280447937987
FA,grip_nondominant,fusiform gyrus right,286,-7.401006068829439e-06,0.9476654560277806,-0.0039545520030427024
FA,grip_nondominant,superior occipital gyrus left,286,0.00022418215674203397,0.41834058481099995,0.04872951834973245
FA,grip_nondominant,superior occipital gyrus right,286,0.00019585933793317707,0.414066585318336,0.04917784058600056
FA,grip_nondominant,middle occipital gyrus left,286,-8.350717935243122e-05,0.6087009094851291,-0.030835075519856956
FA,grip_nondominant,MIDDLE OCCIPITAL GYRUS right,286,-5.347877354455398e-05,0.7568488512683361,-0.01865228636546957
FA,grip_nondominant,inferior occipital gyrus left,286,3.585964653638409e-06,0.9844560075977926,0.001173785334333734
FA,grip_nondominant,inferior occipital gyrus right,286,-0.00014487637056695635,0.41971096557924586,-0.04858634076826809
FA,grip_nondominant,cuneus left,286,0.0003194427346712795,0.11919213829273292,0.09366950525426222
FA,grip_nondominant,cuneus right,286,0.00011408597528730411,0.4058050120380147,0.05005223540123695
FA,grip_nondominant,lingual gyrus left,286,0.00014119012053851544,0.2845392928808707,0.0644085379603304
FA,grip_nondominant,lingual gyrus right,286,0.00012723602106335958,0.3006898183647672,0.062292862180928034
FA,grip_nondominant,rostral anterior cingulate gyrus left,286,4.817254371851261e-05,0.7479980669032863,0.019354506386209752
FA,grip_nondominant,rostral anterior cingulate gyrus right,286,5.6637228933122324e-05,0.6479201062494828,0.027507013855091016
FA,grip_nondominant,subcallosal anterior cingulate gyrus left,286,-0.00017150646229410207,0.555287722308649,-0.03552606602926226
FA,grip_nondominant,subcallosal anterior cingulate gyrus right,286,6.56775778208143e-05,0.8038957879827288,0.014959117528783277
FA,grip_nondominant,subgenual anterior cingulate gyrus left,286,-0.00013666377413869366,0.5043910433111595,-0.04020475052966455
FA,grip_nondominant,subgenual anterior cingulate gyrus right,286,8.124086625346977e-05,0.6558189938040416,0.026847038678276654
